movie_id,name,year,runtime(min),imdb_rating,meta_score,genre
tt0111161,The Shawshank Redemption,1994,142,9.3,82,Drama
tt0068646,The Godfather,1972,175,9.2,100,"Crime, Drama"
tt0468569,The Dark Knight,2008,152,9.0,84,"Action, Crime, Drama"
tt0108052,Schindler's List,1993,195,9.0,95,"Biography, Drama, History"
tt0071562,The Godfather Part II,1974,202,9.0,90,"Crime, Drama"
tt0050083,12 Angry Men,1957,96 ,9.0,97,"Crime, Drama"
tt0167260,The Lord of the Rings: The Return of the King,2003,201,9.0,94,"Action, Adventure, Drama"
tt0110912,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt1375666,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt0137523,Fight Club,1999,139,8.8,66,Drama
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0109830,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0060196,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0167261,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt15097216,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt0816692,Interstellar,2014,169,8.7,74,"Adventure, Drama, Sci-Fi"
tt0099685,GoodFellas,1990,145,8.7,92,"Biography, Crime, Drama"
tt0133093,The Matrix,1999,136,8.7,73,"Action, Sci-Fi"
tt0073486,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,Drama
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,"Action, Adventure, Fantasy"
tt0120689,The Green Mile,1999,189,8.6,61,"Crime, Drama, Fantasy"
tt0114369,Se7en,1995,127,8.6,65,"Crime, Drama, Mystery"
tt0102926,The Silence of the Lambs,1991,118,8.6,86,"Crime, Drama, Thriller"
tt0076759,Star Wars,1977,121,8.6,90,"Action, Adventure, Fantasy"
tt0120815,Saving Private Ryan,1998,169,8.6,91,"Drama, War"
tt0245429,Sen to Chihiro no kamikakushi,2001,125,8.6,96,"Animation, Adventure, Family"
tt0103064,Terminator 2: Judgment Day,1991,137,8.6,75,"Action, Sci-Fi"
tt0317248,Cidade de Deus,2002,130,8.6,79,"Crime, Drama"
tt0118799,La vita è bella,1997,116,8.6,59,"Comedy, Drama, Romance"
tt0047478,Shichinin no samurai,1954,207,8.6,98,"Action, Drama"
tt0038650,It's a Wonderful Life,1946,130,8.6,89,"Drama, Family, Fantasy"
tt0056058,Seppuku,1962,133,8.6,85,"Action, Drama, Mystery"
tt6751668,Gisaengchung,2019,132,8.5,96,"Drama, Thriller"
tt0407887,The Departed,2006,151,8.5,85,"Crime, Drama, Thriller"
tt2582802,Whiplash,2014,106,8.5,89,"Drama, Music"
tt0110413,Léon,1994,110,8.5,64,"Action, Crime, Drama"
tt0088763,Back to the Future,1985,116,8.5,87,"Adventure, Comedy, Sci-Fi"
tt0172495,Gladiator,2000,155,8.5,67,"Action, Adventure, Drama"
tt0482571,The Prestige,2006,130,8.5,66,"Drama, Mystery, Sci-Fi"
tt0078748,Alien,1979,117,8.5,89,"Horror, Sci-Fi"
tt0034583,Casablanca,1942,102,8.5,100,"Drama, Romance, War"
tt0110357,The Lion King,1994,88 ,8.5,88,"Animation, Adventure, Drama"
tt0120586,American History X,1998,119,8.5,62,"Crime, Drama"
tt0253474,The Pianist,2002,150,8.5,85,"Biography, Drama, Music"
tt0114814,The Usual Suspects,1995,106,8.5,77,"Crime, Drama, Mystery"
tt0054215,Psycho,1960,109,8.5,97,"Horror, Mystery, Thriller"
tt1675434,Intouchables,2011,112,8.5,57,"Biography, Comedy, Drama"
tt0064116,C'era una volta il West,1968,165,8.5,82,Western
tt0095327,Hotaru no haka,1988,89 ,8.5,94,"Animation, Drama, War"
tt0047396,Rear Window,1954,112,8.5,100,"Mystery, Thriller"
tt0095765,Nuovo Cinema Paradiso,1988,155,8.5,80,"Drama, Romance"
tt0027977,Modern Times,1936,87 ,8.5,96,"Comedy, Drama, Romance"
tt0021749,City Lights,1931,87 ,8.5,99,"Comedy, Drama, Romance"
tt4633694,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,"Animation, Action, Adventure"
tt4154796,Avengers: Endgame,2019,181,8.4,78,"Action, Adventure, Drama"
tt0082971,Raiders of the Lost Ark,1981,115,8.4,85,"Action, Adventure"
tt4154756,Avengers: Infinity War,2018,149,8.4,68,"Action, Adventure, Sci-Fi"
tt0081505,The Shining,1980,146,8.4,66,"Drama, Horror"
tt7286456,Joker,I 2019,122,8.4,59,"Crime, Drama, Thriller"
tt1853728,Django Unchained,2012,165,8.4,81,"Drama, Western"
tt0364569,Oldeuboi,2003,120,8.4,77,"Action, Drama, Mystery"
tt0078788,Apocalypse Now,1979,147,8.4,94,"Drama, Mystery, War"
tt0209144,Memento,2000,113,8.4,81,"Mystery, Thriller"
tt1345836,The Dark Knight Rises,2012,164,8.4,78,"Action, Drama, Thriller"
tt0091251,Idi i smotri,1985,142,8.4,,"Drama, Thriller, War"
tt0090605,Aliens,1986,137,8.4,84,"Action, Adventure, Sci-Fi"
tt5311514,Kimi no na wa.,2016,106,8.4,79,"Animation, Drama, Fantasy"
tt2380307,Coco,I 2017,105,8.4,81,"Animation, Adventure, Comedy"
tt0910970,WALL·E,2008,98 ,8.4,95,"Animation, Adventure, Family"
tt0086879,Amadeus,1984,160,8.4,88,"Biography, Drama, Music"
tt0405094,Das Leben der Anderen,2006,137,8.4,89,"Drama, Mystery, Thriller"
tt8267604,Capharnaüm,2018,126,8.4,75,Drama
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 ,8.4,97,"Comedy, War"
tt0082096,Das Boot,1981,149,8.4,86,"Drama, War"
tt0043014,Sunset Blvd.,1950,110,8.4,94,"Drama, Film-Noir"
tt1187043,3 Idiots,2009,170,8.4,67,"Comedy, Drama"
tt0051201,Witness for the Prosecution,1957,116,8.4,76,"Crime, Drama, Mystery"
tt0050825,Paths of Glory,1957,88 ,8.4,90,"Drama, War"
tt0032553,The Great Dictator,1940,125,8.4,,"Comedy, Drama, War"
tt0057565,Tengoku to jigoku,1963,143,8.4,90,"Crime, Drama, Mystery"
tt1745960,Top Gun: Maverick,2022,130,8.3,78,"Action, Drama"
tt0113277,Heat,1995,170,8.3,76,"Action, Crime, Drama"
tt0119217,Good Will Hunting,1997,126,8.3,70,"Drama, Romance"
tt0361748,Inglourious Basterds,2009,153,8.3,69,"Adventure, Drama, War"
tt0169547,American Beauty,1999,122,8.3,84,Drama
tt0180093,Requiem for a Dream,2000,102,8.3,71,Drama
tt0112573,Braveheart,1995,178,8.3,68,"Biography, Drama, History"
tt0086250,Scarface,1983,170,8.3,65,"Crime, Drama"
tt0087843,Once Upon a Time in America,1984,229,8.3,75,"Crime, Drama"
tt0062622,2001: A Space Odyssey,1968,149,8.3,84,"Adventure, Sci-Fi"
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,"Action, Adventure, Fantasy"
tt0066921,A Clockwork Orange,1971,136,8.3,77,"Crime, Sci-Fi"
tt0338013,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,"Drama, Romance, Sci-Fi"
tt2106476,Jagten,2012,115,8.3,77,Drama
tt1255953,Incendies,2010,131,8.3,80,"Drama, Mystery"
tt0093058,Full Metal Jacket,1987,116,8.3,78,"Drama, War"
tt0114709,Toy Story,1995,81 ,8.3,96,"Animation, Adventure, Comedy"
tt0105236,Reservoir Dogs,1992,99 ,8.3,81,"Crime, Thriller"
tt8503618,Hamilton,2020,160,8.3,89,"Biography, Drama, History"
tt1049413,Up,2009,96 ,8.3,88,"Animation, Adventure, Comedy"
tt0211915,Le fabuleux destin d'Amélie Poulain,2001,122,8.3,69,"Comedy, Romance"
tt0056172,Lawrence of Arabia,1962,218,8.3,100,"Adventure, Biography, Drama"
tt0119698,Mononoke-hime,1997,134,8.3,76,"Animation, Action, Adventure"
tt0435761,Toy Story 3,2010,103,8.3,92,"Animation, Adventure, Comedy"
tt0052357,Vertigo,1958,128,8.3,100,"Mystery, Romance, Thriller"
tt0056592,To Kill a Mockingbird,1962,129,8.3,88,"Crime, Drama"
tt0033467,Citizen Kane,1941,119,8.3,100,"Drama, Mystery"
tt0053125,North by Northwest,1959,136,8.3,98,"Action, Adventure, Mystery"
tt0017136,Metropolis,1927,153,8.3,98,"Drama, Sci-Fi"
tt0070735,The Sting,1973,129,8.3,83,"Comedy, Crime, Drama"
tt0045152,Singin' in the Rain,1952,103,8.3,99,"Comedy, Musical, Romance"
tt0053604,The Apartment,1960,125,8.3,94,"Comedy, Drama, Romance"
tt1832382,Jodaeiye Nader az Simin,2011,123,8.3,95,Drama
tt0022100,M - Eine Stadt sucht einen Mörder,1931,117,8.3,,"Crime, Mystery, Thriller"
tt0044741,Ikiru,1952,143,8.3,92,Drama
tt0055031,Judgment at Nuremberg,1961,179,8.3,60,"Drama, War"
tt5074352,Dangal,2016,161,8.3,,"Action, Biography, Drama"
tt0036775,Double Indemnity,1944,107,8.3,95,"Crime, Drama, Film-Noir"
tt0986264,Taare Zameen Par,2007,165,8.3,,"Drama, Family"
tt0040522,Ladri di biciclette,1948,89 ,8.3,,Drama
tt0012349,The Kid,1921,68 ,8.3,,"Comedy, Drama, Family"
tt6791350,Guardians of the Galaxy Vol. 3,2023,150,8.2,64,"Action, Adventure, Comedy"
tt0993846,The Wolf of Wall Street,2013,180,8.2,75,"Biography, Comedy, Crime"
tt10872600,Spider-Man: No Way Home,2021,148,8.2,71,"Action, Adventure, Fantasy"
tt0107290,Jurassic Park,1993,127,8.2,68,"Action, Adventure, Sci-Fi"
tt0075314,Taxi Driver,1976,114,8.2,94,"Crime, Drama"
tt1130884,Shutter Island,2010,138,8.2,63,"Mystery, Thriller"
tt0477348,No Country for Old Men,2007,122,8.2,92,"Crime, Drama, Thriller"
tt0097576,Indiana Jones and the Last Crusade,1989,127,8.2,65,"Action, Adventure"
tt10272386,The Father,I 2020,97 ,8.2,88,"Drama, Mystery"
tt8579674,1917,2019,119,8.2,78,"Action, Drama, War"
tt0469494,There Will Be Blood,2007,158,8.2,93,Drama
tt6966692,Green Book,2018,130,8.2,69,"Biography, Comedy, Drama"
tt0347149,Hauru no ugoku shiro,2004,119,8.2,82,"Animation, Adventure, Family"
tt0208092,Snatch,2000,104,8.2,55,"Comedy, Crime"
tt0112641,Casino,1995,178,8.2,73,"Crime, Drama"
tt0084787,The Thing,1982,109,8.2,57,"Horror, Mystery, Sci-Fi"
tt0266697,Kill Bill: Vol. 1,2003,111,8.2,69,"Action, Crime, Drama"
tt0372784,Batman Begins,2005,140,8.2,70,"Action, Crime, Drama"
tt0120382,The Truman Show,1998,103,8.2,90,"Comedy, Drama"
tt0268978,A Beautiful Mind,2001,135,8.2,72,"Biography, Drama"
tt0167404,The Sixth Sense,1999,107,8.2,64,"Drama, Mystery, Thriller"
tt0266543,Finding Nemo,2003,100,8.2,90,"Animation, Adventure, Comedy"
tt0095016,Die Hard,1988,132,8.2,72,"Action, Thriller"
tt0105695,Unforgiven,1992,130,8.2,85,"Drama, Western"
tt0457430,El laberinto del fauno,2006,118,8.2,98,"Drama, Fantasy, War"
tt0071315,Chinatown,1974,130,8.2,92,"Drama, Mystery, Thriller"
tt0119488,L.A. Confidential,1997,138,8.2,91,"Crime, Drama, Mystery"
tt0434409,V for Vendetta,2005,132,8.2,62,"Action, Drama, Sci-Fi"
tt0031381,Gone with the Wind,1939,238,8.2,97,"Drama, Romance, War"
tt0363163,Der Untergang,2004,156,8.2,82,"Biography, Drama, History"
tt0071853,Monty Python and the Holy Grail,1975,91 ,8.2,91,"Adventure, Comedy, Fantasy"
tt0053291,Some Like It Hot,1959,121,8.2,98,"Comedy, Music, Romance"
tt0080678,The Elephant Man,1980,124,8.2,78,"Biography, Drama"
tt0057115,The Great Escape,1963,172,8.2,86,"Adventure, Drama, History"
tt1305806,El secreto de sus ojos,2009,129,8.2,80,"Drama, Mystery, Romance"
tt0059578,Per qualche dollaro in più,1965,132,8.2,74,"Drama, Western"
tt0089881,Ran,1985,162,8.2,97,"Action, Drama, War"
tt0042192,All About Eve,1950,138,8.2,98,Drama
tt0040897,The Treasure of the Sierra Madre,1948,126,8.2,98,"Adventure, Drama, Western"
tt0046912,Dial M for Murder,1954,105,8.2,75,"Crime, Thriller"
tt4729430,Klaus,2019,96 ,8.2,65,"Animation, Adventure, Comedy"
tt0042876,Rashômon,1950,88 ,8.2,98,"Crime, Drama, Mystery"
tt0055630,Yôjinbô,1961,110,8.2,93,"Action, Drama, Thriller"
tt0046438,Tôkyô monogatari,1953,136,8.2,100,Drama
tt0035446,To Be or Not to Be,1942,99 ,8.2,86,"Comedy, Romance, War"
tt0118849,Bacheha-Ye aseman,1997,89 ,8.2,77,"Drama, Family, Sport"
tt0048473,Pather Panchali,1955,125,8.2,,Drama
tt0046268,Le salaire de la peur,1953,131,8.2,85,"Adventure, Drama, Thriller"
tt0019254,La passion de Jeanne d'Arc,1928,110,8.2,98,"Biography, Drama, History"
tt0015324,Sherlock Jr.,1924,45 ,8.2,,"Action, Comedy, Romance"
tt0071411,Dersu Uzala,1975,142,8.2,,"Adventure, Biography, Drama"
tt0476735,Babam ve Oglum,2005,112,8.2,,"Drama, Family"
tt1392190,Mad Max: Fury Road,2015,120,8.1,90,"Action, Adventure, Sci-Fi"
tt1950186,Ford v Ferrari,2019,152,8.1,81,"Action, Biography, Drama"
tt1392214,Prisoners,2013,153,8.1,70,"Crime, Drama, Mystery"
tt2278388,The Grand Budapest Hotel,2014,99 ,8.1,88,"Adventure, Comedy, Crime"
tt0073195,Jaws,1975,124,8.1,87,"Adventure, Mystery, Thriller"
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,63,"Action, Adventure, Fantasy"
tt0083658,Blade Runner,1982,117,8.1,84,"Action, Drama, Sci-Fi"
tt2267998,Gone Girl,2014,149,8.1,79,"Drama, Mystery, Thriller"
tt1454029,The Help,2011,146,8.1,62,Drama
tt0092005,Stand by Me,1986,89 ,8.1,75,"Adventure, Drama"
tt2119532,Hacksaw Ridge,2016,139,8.1,71,"Biography, Drama, History"
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,"Adventure, Family, Fantasy"
tt0117951,Trainspotting,1996,93 ,8.1,83,Drama
tt0264464,Catch Me If You Can,2002,141,8.1,75,"Biography, Crime, Drama"
tt0088247,The Terminator,1984,107,8.1,84,"Action, Sci-Fi"
tt0118715,The Big Lebowski,1998,117,8.1,71,"Comedy, Crime"
tt0070047,The Exorcist,1973,122,8.1,81,Horror
tt0382932,Ratatouille,2007,111,8.1,96,"Animation, Adventure, Comedy"
tt0097165,Dead Poets Society,1989,128,8.1,79,"Comedy, Drama"
tt4016934,Ah-ga-ssi,2016,145,8.1,84,"Drama, Romance, Thriller"
tt0032138,The Wizard of Oz,1939,102,8.1,92,"Adventure, Family, Fantasy"
tt2096673,Inside Out,I 2015,95 ,8.1,94,"Animation, Adventure, Comedy"
tt3315342,Logan,2017,137,8.1,77,"Action, Drama, Sci-Fi"
tt0758758,Into the Wild,2007,148,8.1,73,"Adventure, Biography, Drama"
tt1895587,Spotlight,I 2015,129,8.1,93,"Biography, Crime, Drama"
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88,"Comedy, Crime, Drama"
tt3170832,Room,I 2015,118,8.1,86,"Drama, Thriller"
tt0075148,Rocky,1976,120,8.1,70,"Drama, Sport"
tt0116282,Fargo,1996,98 ,8.1,86,"Crime, Thriller"
tt0198781,"Monsters, Inc.",2001,92 ,8.1,79,"Animation, Adventure, Comedy"
tt0120735,"Lock, Stock and Two Smoking Barrels",1998,107,8.1,66,"Action, Comedy, Crime"
tt0077416,The Deer Hunter,1978,183,8.1,86,"Drama, War"
tt0353969,Salinui chueok,2003,131,8.1,82,"Crime, Drama, Mystery"
tt0112471,Before Sunrise,1995,101,8.1,77,"Drama, Romance"
tt0081398,Raging Bull,1980,129,8.1,90,"Biography, Drama, Sport"
tt1205489,Gran Torino,2008,116,8.1,72,Drama
tt0091763,Platoon,1986,120,8.1,92,"Drama, War"
tt0892769,How to Train Your Dragon,2010,98 ,8.1,75,"Animation, Action, Adventure"
tt1291584,Warrior,2011,140,8.1,71,"Action, Drama, Sport"
tt0059742,The Sound of Music,1965,172,8.1,63,"Biography, Drama, Family"
tt1979320,Rush,I 2013,123,8.1,74,"Action, Biography, Drama"
tt2024544,12 Years a Slave,2013,134,8.1,96,"Biography, Drama, History"
tt0405159,Million Dollar Baby,2004,132,8.1,86,"Drama, Sport"
tt0072684,Barry Lyndon,1975,185,8.1,89,"Adventure, Drama, War"
tt1028532,Hachi: A Dog's Tale,2009,93 ,8.1,,"Biography, Drama, Family"
tt3011894,Relatos salvajes,2014,122,8.1,77,"Comedy, Drama, Thriller"
tt0061512,Cool Hand Luke,1967,127,8.1,92,"Crime, Drama"
tt0096283,Tonari no Totoro,1988,86 ,8.1,86,"Animation, Comedy, Family"
tt0129167,The Iron Giant,1999,86 ,8.1,85,"Animation, Action, Adventure"
tt0113247,La haine,1995,98 ,8.1,,"Crime, Drama"
tt0074958,Network,1976,121,8.1,83,Drama
tt0381681,Before Sunset,2004,80 ,8.1,90,"Drama, Romance"
tt0052618,Ben-Hur,1959,212,8.1,90,"Adventure, Drama"
tt0047296,On the Waterfront,1954,108,8.1,91,"Crime, Drama, Thriller"
tt0395169,Hotel Rwanda,2004,121,8.1,79,"Biography, Drama, History"
tt0060827,Persona,1966,85 ,8.1,86,"Drama, Thriller"
tt0245712,Amores perros,2000,154,8.1,83,"Drama, Thriller"
tt0050976,Det sjunde inseglet,1957,96 ,8.1,88,"Drama, Fantasy"
tt0032976,Rebecca,1940,130,8.1,86,"Drama, Film-Noir, Mystery"
tt0107207,In the Name of the Father,1993,133,8.1,84,"Biography, Crime, Drama"
tt0050212,The Bridge on the River Kwai,1957,161,8.1,87,"Adventure, Drama, War"
tt0041959,The Third Man,1949,104,8.1,97,"Film-Noir, Mystery, Thriller"
tt0978762,Mary and Max.,2009,92 ,8.1,,"Animation, Comedy, Drama"
tt0036868,The Best Years of Our Lives,1946,170,8.1,93,"Drama, Romance, War"
tt0032551,The Grapes of Wrath,1940,129,8.1,96,Drama
tt0025316,It Happened One Night,1934,105,8.1,87,"Comedy, Romance"
tt0053198,Les quatre cents coups,1959,99 ,8.1,,"Crime, Drama"
tt0031679,Mr. Smith Goes to Washington,1939,129,8.1,73,"Comedy, Drama"
tt0050986,Smultronstället,1957,91 ,8.1,88,"Drama, Romance"
tt0017925,The General,1926,67 ,8.1,,"Action, Adventure, Comedy"
tt0015864,The Gold Rush,1925,95 ,8.1,,"Adventure, Comedy, Drama"
tt0058946,La battaglia di Algeri,1966,121,8.1,96,"Drama, War"
tt0317705,The Incredibles,2004,115,8.0,90,"Animation, Action, Adventure"
tt0103639,Aladdin,1992,90 ,8.0,86,"Animation, Adventure, Comedy"
tt0099348,Dances with Wolves,1990,181,8.0,72,"Adventure, Drama, Western"
tt0107048,Groundhog Day,1993,101,8.0,72,"Comedy, Drama, Fantasy"
tt0079470,Life of Brian,1979,94 ,8.0,77,Comedy
